"symbol","date","adjusted"
"XTC.TO",2019-08-01,5.61276483535767
"XTC.TO",2019-09-01,5.48587989807129
"XTC.TO",2019-10-01,5.76906681060791
"XTC.TO",2019-11-01,6.41846323013306
"XTC.TO",2019-12-01,5.98804950714111
"XTC.TO",2020-01-01,5.725661277771
"XTC.TO",2020-02-01,5.74093151092529
"XTC.TO",2020-03-01,4.10720777511597
"XTC.TO",2020-04-01,5.05420923233032
"XTC.TO",2020-05-01,4.72088050842285
"XTC.TO",2020-06-01,5.19374322891235
"XTC.TO",2020-07-01,5.00130701065063
"XTC.TO",2020-08-01,5.54390096664429
"XTC.TO",2020-09-01,5.17430830001831
"XTC.TO",2020-10-01,5.66174030303955
"XTC.TO",2020-11-01,6.58675765991211
"XTC.TO",2020-12-01,7.36026191711426
"XTC.TO",2021-01-01,7.81462383270264
"XTC.TO",2021-02-01,8.79749488830566
"XTC.TO",2021-03-01,8.5638599395752
"XTC.TO",2021-04-01,8.72315311431885
"XTC.TO",2021-05-01,8.8776159286499
"XTC.TO",2021-06-01,8.47113132476807
"XTC.TO",2021-07-01,8.43434047698975
"XTC.TO",2021-08-01,8.34409332275391
"XTC.TO",2021-09-01,8.13077259063721
"XTC.TO",2021-10-01,8.08786010742188
"XTC.TO",2021-11-01,7.54093503952026
"XTC.TO",2021-12-01,8.54363250732422
"XTC.TO",2022-01-01,8.23345756530762
"XTC.TO",2022-02-01,7.84816741943359
"XTC.TO",2022-03-01,8.03243732452393
"XTC.TO",2022-04-01,7.29486083984375
"XTC.TO",2022-05-01,7.16777276992798
"XTC.TO",2022-06-01,6.7695631980896
"XTC.TO",2022-07-01,7.49885177612305
"XTC.TO",2022-08-01,7.49885177612305
"XTC.TO",2022-09-01,6.60653972625732
"XTC.TO",2022-10-01,6.02124118804932
"XTC.TO",2022-11-01,7.1420783996582
"XTC.TO",2022-12-01,6.69026756286621
"XTC.TO",2023-01-01,6.7214617729187
"XTC.TO",2023-02-01,6.73907995223999
"XTC.TO",2023-03-01,6.73907995223999
"XTC.TO",2023-04-01,6.57554626464844
"XTC.TO",2023-05-01,7.05799198150635
"XTC.TO",2023-06-01,7.12946510314941
"XTC.TO",2023-07-01,7.99526977539062
"XTC.TO",2023-08-01,7.14413070678711
"XTC.TO",2023-09-01,6.72761631011963
"XTC.TO",2023-10-01,6.56359004974365
"XTC.TO",2023-11-01,7.0684814453125
"XTC.TO",2023-12-01,7.23371839523315
"XTC.TO",2024-01-01,7.1552529335022
"XTC.TO",2024-02-01,6.82959127426147
"XTC.TO",2024-03-01,6.90402841567993
"XTC.TO",2024-04-01,6.67279291152954
"XTC.TO",2024-05-01,7.5977349281311
"XTC.TO",2024-06-01,7.50335168838501
"XTC.TO",2024-07-01,7.62368488311768
"XTC.TO",2024-08-01,7.86282157897949
"XTC.TO",2024-09-01,7.64281606674194
"XTC.TO",2024-10-01,8.12992000579834
"XTC.TO",2024-11-01,8.02332878112793
"XTC.TO",2024-12-01,7.27719926834106
"XTC.TO",2025-01-01,6.92703485488892
"XTC.TO",2025-02-01,6.19994163513184
"XTC.TO",2025-03-01,5.74796485900879
"XTC.TO",2025-04-01,5.57000017166138
"XTC.TO",2025-04-22,5.57000017166138
"ACQ.TO",2018-01-01,21.3877658843994
"ACQ.TO",2018-02-01,19.3512744903564
"ACQ.TO",2018-03-01,20.7805614471436
"ACQ.TO",2018-04-01,20.3881225585938
"ACQ.TO",2018-05-01,15.8750801086426
"ACQ.TO",2018-06-01,15.9904413223267
"ACQ.TO",2018-07-01,13.5932874679565
"ACQ.TO",2018-08-01,11.9575796127319
"ACQ.TO",2018-09-01,12.9108448028564
"ACQ.TO",2018-10-01,9.46290016174316
"ACQ.TO",2018-11-01,12.0962209701538
"ACQ.TO",2018-12-01,10.848087310791
"ACQ.TO",2019-01-01,10.7142791748047
"ACQ.TO",2019-02-01,12.262640953064
"ACQ.TO",2019-03-01,10.2773370742798
"ACQ.TO",2019-04-01,11.4331750869751
"ACQ.TO",2019-05-01,10.5566654205322
"ACQ.TO",2019-06-01,11.1586942672729
"ACQ.TO",2019-07-01,8.78698539733887
"ACQ.TO",2019-08-01,8.21350002288818
"ACQ.TO",2019-09-01,7.86237335205078
"ACQ.TO",2019-10-01,8.1575813293457
"ACQ.TO",2019-11-01,13.3040418624878
"ACQ.TO",2019-12-01,12.2838306427002
"ACQ.TO",2020-01-01,12.9282598495483
"ACQ.TO",2020-02-01,11.2031707763672
"ACQ.TO",2020-03-01,5.34999990463257
"ACQ.TO",2020-04-01,6.55000019073486
"ACQ.TO",2020-05-01,7.5
"ACQ.TO",2020-06-01,10.6999998092651
"ACQ.TO",2020-07-01,14.0500001907349
"ACQ.TO",2020-08-01,15.0200004577637
"ACQ.TO",2020-09-01,18.1299991607666
"ACQ.TO",2020-10-01,20.1299991607666
"ACQ.TO",2020-11-01,29.7600002288818
"ACQ.TO",2020-12-01,23.6100006103516
"ACQ.TO",2021-01-01,27.8199996948242
"ACQ.TO",2021-02-01,30.4899997711182
"ACQ.TO",2021-03-01,30.6000003814697
"ACQ.TO",2021-04-01,47.3600006103516
"ACQ.TO",2021-05-01,43.2999992370605
"ACQ.TO",2021-06-01,49.939998626709
"ACQ.TO",2021-07-01,50.7599983215332
"ACQ.TO",2021-08-01,48.0099983215332
"ACQ.TO",2021-09-01,46.3899993896484
"ACQ.TO",2021-10-01,44.5900001525879
"ACQ.TO",2021-11-01,32.2799987792969
"ACQ.TO",2021-12-01,42.7000007629395
"ACQ.TO",2022-01-01,37.7700004577637
"ACQ.TO",2022-02-01,32.7799987792969
"ACQ.TO",2022-03-01,36.2299995422363
"ACQ.TO",2022-04-01,29.8999996185303
"ACQ.TO",2022-05-01,28.5900001525879
"ACQ.TO",2022-06-01,24.5599994659424
"ACQ.TO",2022-07-01,25.9200000762939
"ACQ.TO",2022-08-01,29.7700004577637
"ACQ.TO",2022-09-01,22.6399993896484
"ACQ.TO",2022-10-01,21.2600002288818
"ACQ.TO",2022-11-01,26.9300003051758
"ACQ.TO",2022-12-01,23.3099994659424
"ACQ.TO",2023-01-01,26.7999992370605
"ACQ.TO",2023-02-01,29.1900005340576
"ACQ.TO",2023-03-01,19.8799991607666
"ACQ.TO",2023-04-01,20.5499992370605
"ACQ.TO",2023-05-01,17.1700000762939
"ACQ.TO",2023-06-01,19.2199993133545
"ACQ.TO",2023-07-01,22.5200004577637
"ACQ.TO",2023-08-01,26.8899993896484
